,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T
32,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.43360429914724136,0.3432176664181168,300
33,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23270299939490738,0.3219687971631373,300
34,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5942646442855479,0.1257019471346637,300
35,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.009084019888398175,0.5351058739416547,300
36,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23026126824448293,0.0054067543672076945,300
37,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4538180525840671,0.5350410888614584,300
38,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4446411305063048,0.25242384358944864,300
39,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26298706427684787,0.47462454090285844,300
40,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3277522327064549,0.1300506595160222,300
41,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.37112799694138937,0.4446248212109355,300
42,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.43714654185351537,0.15081037846720724,300
43,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1878545799015262,0.6973904561219044,300
44,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.08993750359115683,0.4780819901891053,300
45,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4154531978072944,0.27466008746643805,300
46,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7304117426482724,0.09577502309240711,300
47,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.16771184152332372,0.4335439659833717,300
48,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4632904327355191,0.12142548653439168,300
49,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2862664440182587,0.44109495434828416,300
50,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6310768520010008,0.3216449362266419,300
51,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.07520391796866156,0.3827250485265045,300
52,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.13016047301273984,0.2436124384408348,300
53,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.43546223309891735,0.3557583162014107,300
54,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.37565166185938376,0.09676491096414824,300
55,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26916162203847094,0.6048521052486456,300
56,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1581601603712756,0.2394203486321652,300
57,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.484797177332397,0.3682835074952818,300
58,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.49981573951292485,0.03651964689545623,300
59,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1359217071313555,0.56539219221049,300
60,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1291284602623603,0.6947437636047653,300
61,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3805790113521322,0.3219320148830004,300
62,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4840819602675037,0.2852666634084201,300
63,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.28023527255620984,0.41383518308419975,300
64,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.40324811204240024,0.3416463804826777,300
65,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.34400641116277,0.3287222860312526,300
66,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.9839009215336681,0.014532281800242906,300
67,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.018315110174427537,0.5309171687680837,300
68,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.17984180256873772,0.18377794641820547,300
69,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.36599932972224514,0.410889996932731,300
70,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.35289937723126014,0.17887156100402613,300
71,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2163446633228635,0.5912445938645414,300
72,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2487120551464185,0.052589560163459115,300
73,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3569746793017001,0.5556663731770037,300
74,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4274539949613842,0.2460000582792114,300
75,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11401923299443745,0.5222983048813439,300
76,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2116828449267958,0.5710567375924669,300
77,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.38428209671706937,0.267525072405691,300
78,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5762743716808927,0.13228053826432792,300
79,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2290882882288555,0.4370683326638297,300
80,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5249298541167123,0.23607292462970952,300
81,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2604460590794959,0.3421652439254586,300
82,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5805715775026259,0.1672389104588432,300
83,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06059478254171974,0.47615985668223076,300
84,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.10603748310357901,0.30739074137093686,300
85,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5584615887504908,0.3864506255415992,300
86,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.49159385174534487,0.08849584729650874,300
87,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.21678584717442298,0.5698246065665067,300
88,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.24480625334158362,0.2775178337277084,300
89,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.42470732683780194,0.4221276843435961,300
90,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4473336519161303,0.12717069749558663,300
91,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.21444385153358633,0.7451848074271183,300
92,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.0036683839194586645,0.09212669306081482,300
93,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.37666852960879393,0.3448543750386976,300
94,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45967723915025327,0.36314174193872917,300
95,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2300908958936029,0.276843117326018,300
96,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.403277527636553,0.01693661184223142,300
97,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2785417706711128,0.48876692646067477,300
98,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41118538186658105,0.18812253602221526,300
99,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.044898932563714605,0.7612296143120861,300
100,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.24654061136875086,0.38815435219310407,300
101,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3758266772442043,0.336268193182455,300
102,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7144916607943765,0.19201960633557835,300
103,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1545837021353285,0.4326185863495862,300
104,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41160852183610697,0.5602736392338477,300
105,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3314715762497715,0.27806267489974923,300
106,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6941552308381167,0.07272895510573273,300
107,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.10979715195811769,0.5868751341115094,300
108,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06253624588628465,0.11930254851700073,300
109,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4580722196207203,0.4138942583621688,300
110,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.35573341122345536,0.1819618678699752,300
111,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26869956590760563,0.4333677449492528,300
112,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.290699735827813,0.1854292261001449,300
113,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4517484929418946,0.5079211154116734,300
114,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5638568878498552,0.10699586304240366,300
115,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.09070846238868971,0.6751866554527707,300
116,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3377035772112949,0.21859757261964372,300
117,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2957179841854788,0.3451011852981239,300
118,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.409550639775438,0.2869359593331448,300
119,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.19894634419746607,0.37943088758119486,300
120,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.30057525662107354,0.2684282669472593,300
121,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.31328380892816976,0.37659049333761085,300
122,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6075132889446913,0.26134525150963617,300
123,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11022984518848095,0.4028850619061977,300
124,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.058453623105258555,0.36965007405943,300
125,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5155584405698649,0.2911187857183783,300
126,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3822440725152311,0.031598563959242376,300
127,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.33070889137330617,0.6164099134306033,300
128,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3550326747971302,0.2258749456848389,300
129,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.35811161298442684,0.41075998245725787,300
130,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4870367956157265,0.07782382793983442,300
131,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06268968884878218,0.8501375381313007,300
132,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3022790157565566,0.11041838869062767,300
133,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3168907409886957,0.4109999642296741,300
134,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5167335285255718,0.3510006070703627,300
135,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1584289575903913,0.3305535027880397,300
136,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4413369316924869,0.28607847855220453,300
137,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2610775648215288,0.3433884531742925,300
138,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.48465672931149195,0.2231769702683083,300
139,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.09531339179468284,0.4464752523501892,300
140,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.08437509850802158,0.3263875357903378,300
141,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6187396520885007,0.3535433799981433,300
142,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5161176153791035,0.002913573369696016,300
143,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26655796025516393,0.5700169493059857,300
144,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.28684279835900056,0.04341072672646214,300
145,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3394497267628147,0.5279567377776561,300
146,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.44122631860284195,0.19594742603612653,300
147,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06999728072564917,0.49861695433287095,300
148,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3627557956767785,0.6274260783923568,300
149,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3552593734236447,0.3109748652248632,300
150,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5538581244439066,0.18901467471610173,300
151,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.20519128739459558,0.4915078875852455,300
152,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2828470324202181,0.4268369680046314,300
153,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3739306254359237,0.3123246862586608,300
154,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7716966093468907,0.11136783227275893,300
155,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11635906707693178,0.46813684150078905,300
156,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.029993097317777863,0.19441532006692624,300
157,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.44305339579494724,0.3646610605559152,300
158,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3044631293319411,0.15277582503099757,300
159,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3487756874610142,0.5340289541269603,300
160,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4295360757974931,0.11925991379644188,300
161,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2558954554860813,0.3997380738411838,300
162,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6585011751811662,0.1997109148049588,300
163,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.002464630216237176,0.3949370883805318,300
164,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1866145723349064,0.39241724686707274,300
165,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4877889041156103,0.3529778343751058,300
166,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.46366603717524757,0.05319423948786584,300
167,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2167435003322092,0.7457284177086725,300
168,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23420037528379026,0.22315612189707484,300
169,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.460174335419335,0.488931390583487,300
170,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5261386506602108,0.11938301194094467,300
171,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11693951297876402,0.6252025411504979,300
172,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2859405102246844,0.10869858738995448,300
173,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3295563967027798,0.3417661407942697,300
174,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4159263281788431,0.30266831897356195,300
175,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.24182937716143,0.321280002543323,300
176,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45694088746963135,0.4333151129911855,300
177,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.30773217808449943,0.27964836342623256,300
178,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7087623479797617,0.02619068907900938,300
179,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06923552244622021,0.552720959453549,300
180,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.10135262899112556,0.1876788223830229,300
181,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4714230818377653,0.4569461403554674,300
182,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3932762848472068,0.21034897920806392,300
183,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.22457840642687418,0.48798501941302197,300
184,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2322145975402828,0.09613637115559402,300
185,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.33656710095873255,0.45649205696361594,300
186,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3524074638863418,0.20479050562104076,300
187,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.19107995343975803,0.5784015758253297,300
188,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.06330685329977202,0.4543711371866184,300
189,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4604452706706398,0.3035986559674476,300
190,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7163913058507729,0.24559426658511704,300
191,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23826121648883566,0.3704059243123671,300
192,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.800217975278859,0.14869747518857707,300
193,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23444802841279053,0.4302677287141799,300
194,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5633927184473162,0.27903856961368995,300
195,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.03557701446995883,0.4892383063504636,300
196,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1456429990269249,0.19087233380842566,300
197,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.47380526670791706,0.4044303157705899,300
198,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4572196472436431,0.08561271140846913,300
199,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.16838184679854137,0.5156009288765396,300
200,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23489299563861885,0.3008219775915407,300
201,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41330351059079073,0.3358804519484416,300
202,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4747946881554133,0.012177111993013932,300
203,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.10921500885106696,0.7385809589952412,300
204,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1894008180054658,0.284530189942941,300
205,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3886998237284879,0.36816309712411055,300
206,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5822725272249141,0.33471594161174284,300
207,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2101611800914729,0.3582036601039498,300
208,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3424831928455676,0.29226323568148393,300
209,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.30252730691073604,0.37291831559918037,300
210,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6931773560496474,0.1952110347106064,300
211,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.04928597143716737,0.4451288908097913,300
212,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.20757641741739102,0.048897310736173316,300
213,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4122832096428767,0.4321781710875806,300
214,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3504977717260475,0.20059056387672194,300
215,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3563463502586098,0.5323157108274356,300
216,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.23331325103964243,0.14143666178417588,300
217,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.49120827754464985,0.49864640754166306,300
218,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4939878160121652,0.1740898627339281,300
219,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.20414795186508938,0.5474903150267578,300
220,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.012750553828535257,0.6537218013599382,300
221,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3795322645345841,0.24687231394621048,300
222,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.47779327316343406,0.08898231041813658,300
223,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.21411133122930462,0.44279266575777537,300
224,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2459232862575115,0.26382513724836565,300
225,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4121988885020323,0.4601926824741261,300
226,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5611887402931766,0.03797487402764515,300
227,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.015169336999178098,0.6995456004330896,300
228,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5160815582082267,0.33633424427223324,300
229,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.33022700451158665,0.32019558732449177,300
230,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5162029786494017,0.22015054855340527,300
231,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1974670635967273,0.41937161450536287,300
232,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5710332424984699,0.015475926038926594,300
233,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.31730611222549854,0.432486858755658,300
234,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.650088900962849,0.30802009979554446,300
235,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.12145642043433426,0.35487506472964314,300
236,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.05534842370402977,0.3226472021975571,300
237,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4365428868469119,0.3337824551641318,300
238,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3224928121057626,0.12100426867411006,300
239,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2686271928137904,0.5829526062598585,300
240,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.36764019397879744,0.19201654336541854,300
241,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.34860686293924376,0.48109743882453027,300
242,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45230931850665096,0.15544541577644294,300
243,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11139104181071925,0.8624361070224343,300
244,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.14525023237215323,0.40495540527726903,300
245,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.39609987390036416,0.25866161964192946,300
246,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6954635807527951,0.05400532074874301,300
247,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1476048539644838,0.40614889216092764,300
248,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41217840973151243,0.38397016500957887,300
249,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.30549159873129755,0.2963702896054139,300
250,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5674524846695924,0.12140832431295963,300
251,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.11699292240621194,0.48127562603847995,300
252,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.05420363808279166,0.12234459099147836,300
253,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4823931200899444,0.4645949595713394,300
254,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.34043248030938916,0.2790144248017095,300
255,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3384717057978603,0.4241780547127774,300
256,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.43358406213699907,0.419894433439937,300
257,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2744056917925507,0.2909655483286046,300
258,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6502691949960061,0.08169926887122397,300
259,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.030836015990145797,0.5655062774264644,300
260,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.15681409494230786,0.13852151983755323,300
261,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4789457356031341,0.48096610629164965,300
262,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45486719663910535,0.1650715013414863,300
263,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2024782324823397,0.517498099837767,300
264,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.348781867936499,0.05797311122948141,300
265,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3663427375741638,0.49249786164382114,300
266,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4136126663637604,0.20289949962596418,300
267,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.19821577049835618,0.724339822049194,300
268,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.10603558839062945,0.3614515606535051,300
269,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.39073865023005616,0.3150745267881578,300
270,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5790123225734091,0.2133344613321954,300
271,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.18895222545487583,0.3709475662926107,300
272,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4335032185960111,0.24010870200341522,300
273,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.29572336285641576,0.44254835569100354,300
274,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.699878352447244,0.28443332372710556,300
275,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.04229835293519008,0.4398990425645161,300
276,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1353203524333258,0.3127260613226971,300
277,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4690287638889914,0.28659364724304703,300
278,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41320118137866485,0.006811934228730182,300
279,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2301664112238611,0.614548630116431,300
280,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.1973959971546933,0.20550917486650458,300
281,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4862869303618918,0.4226954711761275,300
282,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.50262388975026,0.09140013943360646,300
283,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.15380207316718303,0.5498620190177532,300
